question,context,answer
Saan ang tagpuan?,"Bagaman pangkalahatang pinakakahuluganan nila ang kanilang mga sarili sa isang tagpuan sa Asya na napapangibabawan ng mga kalalakihan sa isang lipunang dumaan sa kolonyalismo at Katoliko, namumuhay ang mga Pilipinong kababaihan sa isang kulturang nakatuon ang pansin sa pamayanan, na ang mag-anak ang pangunahing bahagi ng lipunan.",sa Asya na napapangibabawan
Saang mga bansa pumupunta ang mga Pilipino nurses?,"Maraming umalis na mga nurses mula sa Pilipinas patungong ibang bansa. Ang mga bansang ito ay Inglatira, Germanya, Estados Unidos, at sa iba pa.","Ang mga bansang ito ay Inglatira, Germanya, Estados Unidos, at sa iba pa."
Ano ang pinakamalaking korporasyon sa bansa sa larangan ng renats?,"Ang NAPOCOR ay ang pinakamalaking korporasyon sa bansa sa larangan ng rentas, kahit may suliranin sa pagkakaroon ng kita nito. Nakapaglikha ng mga paratang na nadadawit ang kompanya sa pagsasagawa nang madalas ng mga katuusang labag sa batas, na nagdudulot ng mahinang pagkakaroon ng kita.",Ang NAPOCOR ay ang pinakamalaking korporasyon
Ano ang sukat ng tainga at anong kulay ng marka?,"May habang 13.5 sentimetro ang mga tainga na may mapuputing marka sa mga loob. Kapwa nagkakaroon ng maiikling maiitim na mga sungay ang mga lalaki at babae, na sumusunod sa hugis ng titik na V, kung ikukumpara sa hugis C na mga sungay ng Bubalus bubalis.",May habang 13.5 sentimetro ang mga tainga na may mapuputing marka sa mga loob.
Ilang ang populasyong ng tamaraw noong 1953?,"Noong mga unang panahon ng mga dekada ng 1900, nasa 10,000 mga indibidwal ang unang mga tayang bilang ng Bubalus mindorensis sa Mindoro. Makalipas ang may mga limampung taon pagkatapos, bumaba ang populasyon sa may mga sanlibong indibidwal. Noong 1953, kulang sa ang tinatayang nabubuhay pa.","Noong 1953, kulang sa ang tinatayang nabubuhay pa."
Ano ang hindi pwedeng hadlangan?,"Hindi siya maaaring humiling o hadlangan ang mga kagustuhan ng asawang lalaki. Dahil sa ganitong pananaw na pangkalinangan, nakadaranas ng mataas na antas ng pangaabuso sa loob ng tahanan ang mga kababaihang nasa mga pook na rural sa Pilipinas, kapag ihahambing sa mga nasa lugar ng kalunsuran.",ang mga kagustuhan ng asawang lalaki
Ano ang unang akdang pinta ni Amorsolo?,"Sa pagbalik niya sa Maynila ay nagbukas siya ng sariling estudyo at puminta nang puminta sa kapanahunan ng mga dekada ng 1920 at 1930. Ang Pagtatanim ng Palay (1922) ang unang mahalagang akdang-pinta niya, na lumitaw sa mga kartelon at mga babasahing pangturista, kaya't naging isa sa mga pinakakilalang larawan ng kapanahunan ng Pagsasamang-Yaman ng Pilipinas.",Ang Pagtatanim ng Palay
Sino ang pinanganak noong 1 Enero 1900 sa Yaotsu?,"Ipinanganak si Chiune Sugihara noong 1 Enero 1900, sa Yaotsu, isang rural na pook sa Prepekturang Gipu ng rehiyong Chūbu sa bansang Hapón, sa isang panggitnang-antas na ama, si Yoshimizu Sugihara, at Yatsu Sugihara, isang uring-samurai na ina. Ikalawa siya sa limang magkakapatid na laláki at iisang babae.",Ipinanganak si Chiune Sugihara
Sino ang itinadhanang kampeon?,Nagsimula ang tradisyon ng organisadong labanán ng ahedres noong ika-16 siglo. Inangkin ng pinakaunang opisyal na Kampeong Pangsandaigdigan ng Ahedres na si Wilhelm Steinitz ang kaniyang titulo noong 1886.,na si Wilhelm Steinitz ang kaniyang titulo noong 1886
Ano ang bihira sa isang babae?,"Sa mga pook na rural, bihira para sa isang babaeng Pilipino ang manatiling wala pang asawa. Hindi palagiang posible ang permanente o mahabang panahon ng katayuang pagkadalaga. Sa pamayanang etniko, kamakailan lamang naganap ang paghahanda ng sariling mga kasal ng mga mismong kalalakihan at kababaihan.",ang manatiling wala pang asawa
"Bakit sikat ang Boracay,sa anong dahilan?","Maraming mapupuntahang lugar para mag aliw, isa na dito ang Boracay. Sikat ang lugar na ito dahil sa maputing buhangin at kulay koral na kulay ng dagat.",Sikat ang lugar na ito dahil sa maputing buhangin at kulay koral na kulay ng dagat.
Saan ipinaubaya ang pilipinas?,"Nang matalo ang Espanya sa Digmaang Kastila-Amerikano noong 1898, ipinaubaya ang Pilipinas sa Estados Unidos ng Amerika. Ipinakilala ng Amerika ang pamamaraan ng edukasyong pampubliko, na naging sanhi ng pagbabago sa mga gampanin ng mga kababaihan sa lipunan. ",ipinaubaya ang Pilipinas sa Estados Unidos ng Amerika. 
Saan hindi pinapakita ng mga kababaihan sa kanayunan?,"Sa pakikipag-isang-dibdib, hindi ipinapakita ng mga kababaihan sa kanayunan ang kanilang mga damdamin sa kanilang mga asawang lalaki, partikular an ang nasa pamayanang may tribo, tiyak na ang mga paksang may kaugnayan sa pag-ibig at pakikipagtalik. Ganito ito dahil nakaugaliang itinuturing na pagaari ng asawang lalaki ang kaniyang asawang babae at ang lalaki ang nagpapasya hinggil sa katawan ng babae.",Sa pakikipag-isang-dibdib
Ilang tao ang pwede maglaro ng ahedres?,Ang ahedres ay isang nakalilibang at labanang laro para sa dalawang manlalaro. Kung minsang tinatawag na kanluraning ahedres o pandaigdigang ahedres upang maipagkaiba ito mula sa mga naunang uri o ibang kahalintulad ng larong ahedres.,sa dalawang manlalaro
Saan makikita ang larawan ng tamaraw?,Tinuturing na pambansang simbolo ng Pilipinas ang tamaraw. Makikita ang larawan ng tamaraw sa mga baryang Piso noong 1980 hanggang sa unang bahagi ng 1990.,sa mga baryang Piso noong 1980 hanggang sa unang bahagi ng 1990.
Saan nakatuon ang buhay ng isang Pilipina?,"Sa kalahatan, nakakakuha ng karangalan sa kanilang mga gawain ang babaeng Pilipino. Hindi nila nakikita ang mga sarili bilang kaiba sa kanilang mga gawain dahil gumagawa silang kasama, kasalamuha, at para sa kanilang mga mag-anak. Binibigyan ng ganitong kaisipang makamag-anak ang mga kababaihan ng damdamin ng may mataas na pagtingin ng iba at responsibilidad. Pangunahing nakatuon sa mag-anak at mga anak ang buhay ng isang Pilipina.",sa mag-anak at mga anak
Paano gumalang ang mga bata sa mga matatanda?,Ang pagmano sa kamay ng mga matatanda ay simbolo ng paggalang ng mga bata sa mga nakakatanda.,pagmano sa kamay ng mga matatanda
Saang bansa naging paborito si Amorsolo?,"Pinuntuhan si Amorsolo ng mga maimpluhong mga Pilipino na kabilang sina Luis Araneta, Antonia Araneta at Jorge B. Vargas. Naging paboritong artistang pansining din si Amorsolo ng mga opisyal ng Estados Unidos at ng mga turista sa Pilipinas. Dahil sa kaniyang kabantugan, nangailan si Amorsolo na kuhanan ng mga litrato ang kaniyang mga gawa para idikit sa mga pahina ng isang talalarawanan.",mga opisyal ng Estados Unidos
